epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.305201,1.132,0.33333,1,1.07959,0,0,0.1
2,0.631463,1.03109,0.33333,1,1.07959,0.00190551,0.00190551,0.0685722
3,0.956269,1.0957,0.33333,1,1.07959,0.00368096,0.00368096,0.0370143
4,1.29736,0.96777,0.66667,1,0.93245,0.00532636,0.00532636,0.00532636
5,1.65535,0.73324,0.66667,1,0.93245,0.00513127,0.00513127,0.00513127
6,1.91417,0.70719,0.66667,1,0.93245,0.00493619,0.00493619,0.00493619
7,2.20686,0.79264,0.66667,1,0.70622,0.00474111,0.00474111,0.00474111
8,2.46919,0.37882,0.66667,1,0.70622,0.00454602,0.00454602,0.00454602
9,2.724,0.46399,0.66667,1,0.70622,0.00435094,0.00435094,0.00435094
10,3.00369,0.3254,0.66667,1,0.53483,0.00415586,0.00415586,0.00415586
11,3.27925,0.51302,0.66667,1,0.53483,0.00396078,0.00396078,0.00396078
12,3.56287,0.2439,0.66667,1,0.53483,0.00376569,0.00376569,0.00376569
13,3.85967,0.19045,1,1,0.37886,0.00357061,0.00357061,0.00357061
14,4.1225,0.09821,1,1,0.37886,0.00337553,0.00337553,0.00337553
15,4.43546,0.08046,1,1,0.37886,0.00318044,0.00318044,0.00318044
16,4.71915,0.16502,1,1,0.30422,0.00298536,0.00298536,0.00298536
17,4.98421,0.09538,1,1,0.30422,0.00279028,0.00279028,0.00279028
18,5.2549,0.12908,1,1,0.30422,0.00259519,0.00259519,0.00259519
19,5.55899,0.06847,1,1,0.24017,0.00240011,0.00240011,0.00240011
20,5.83805,0.04841,1,1,0.24017,0.00220503,0.00220503,0.00220503
21,6.13163,0.10209,1,1,0.24017,0.00200995,0.00200995,0.00200995
22,6.48584,0.05124,1,1,0.20657,0.00181486,0.00181486,0.00181486
23,6.82008,0.02728,1,1,0.20657,0.00161978,0.00161978,0.00161978
24,7.11687,0.27691,1,1,0.20657,0.0014247,0.0014247,0.0014247
25,7.39436,0.03563,1,1,0.19365,0.00122961,0.00122961,0.00122961
26,7.67268,0.16868,1,1,0.19365,0.00103453,0.00103453,0.00103453
27,8.0539,0.02891,1,1,0.19365,0.000839448,0.000839448,0.000839448
28,8.39195,0.01848,1,1,0.18637,0.000644365,0.000644365,0.000644365
29,8.67387,0.06704,1,1,0.18637,0.000449282,0.000449282,0.000449282
30,8.9705,0.04251,1,1,0.18637,0.000254199,0.000254199,0.000254199
