epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.01364,2.54188,4.40669,2.27727,0.0033,0.7,0.35136,0.19927,1.98601,5.249,1.72395,0.0005001,0.0005001,0.0005001
2,13.2731,1.78057,3.5779,1.79018,0.00461,0.925,0.43262,0.23215,1.4991,4.10891,1.4695,0.00105054,0.00105054,0.00105054
3,15.9416,1.64235,3.00617,1.67575,0.00372,0.75833,0.42188,0.25845,1.65826,4.6414,1.83127,0.00159548,0.00159548,0.00159548
4,18.6133,1.63774,3.08967,1.58765,0.00324,0.65833,0.29375,0.0923,2.00901,4.78322,2.27326,0.00164225,0.00164225,0.00164225
5,21.1534,1.62243,2.65618,1.47055,0.6784,0.375,0.29079,0.08683,2.04169,5.42665,2.36127,0.00163399,0.00163399,0.00163399
6,25.0067,1.42949,2.19438,1.39697,0.46942,0.55,0.14825,0.06626,2.26843,7.92525,2.44464,0.00162574,0.00162574,0.00162574
7,27.888,1.34138,1.904,1.34658,0.50409,0.45833,0.06517,0.01685,2.0683,18.4009,1.88403,0.00161749,0.00161749,0.00161749
8,30.4128,1.30839,1.8312,1.31504,0.52327,0.45833,0.12681,0.04813,1.8124,5.00337,1.58038,0.00160924,0.00160924,0.00160924
9,32.9982,1.36026,1.88881,1.37489,0.56867,0.45833,0.55226,0.26882,1.77794,3.67228,1.6607,0.00160099,0.00160099,0.00160099
10,35.659,1.35387,1.86685,1.40613,0.94924,0.375,0.73531,0.44684,1.69815,4.34699,1.66223,0.00159274,0.00159274,0.00159274
11,38.255,1.30541,1.76312,1.3432,0.38327,0.64188,0.57468,0.34455,1.60177,6.04143,1.49125,0.00158448,0.00158448,0.00158448
12,40.8651,1.22023,1.598,1.2603,0.77793,0.65695,0.90599,0.53934,1.55368,2.74952,1.43495,0.00157623,0.00157623,0.00157623
13,43.4466,1.16714,1.47101,1.20006,0.93642,0.91258,0.91816,0.62831,1.28062,1.93268,1.40863,0.00156798,0.00156798,0.00156798
14,46.4156,1.19822,1.42907,1.24541,0.78543,0.94176,0.93203,0.61346,1.25658,1.97966,1.35462,0.00155973,0.00155973,0.00155973
15,49.1047,1.2535,1.51202,1.26859,0.87096,0.77281,0.91647,0.62406,1.24354,1.85869,1.30569,0.00155148,0.00155148,0.00155148
16,51.7084,1.16614,1.40886,1.24369,0.95159,0.875,0.93907,0.60991,1.2971,1.71717,1.37585,0.00154323,0.00154323,0.00154323
17,54.3782,1.18599,1.47015,1.23964,0.95917,0.95833,0.9584,0.63184,1.35142,1.6471,1.3704,0.00153497,0.00153497,0.00153497
18,57.0371,1.15027,1.33683,1.18845,0.97144,0.94069,0.95864,0.65624,1.31023,1.72099,1.33037,0.00152672,0.00152672,0.00152672
19,59.7008,1.13878,1.38375,1.23038,0.982,0.91667,0.95883,0.6707,1.34884,1.884,1.29999,0.00151847,0.00151847,0.00151847
20,63.1126,1.16306,1.26898,1.21013,0.97737,0.91667,0.9543,0.66389,1.20017,1.55665,1.22209,0.00151022,0.00151022,0.00151022
21,65.9077,1.13773,1.23308,1.17929,0.99584,0.94242,0.95562,0.6645,1.18928,1.47396,1.148,0.00150197,0.00150197,0.00150197
22,68.6492,1.09659,1.25096,1.18979,1,0.9539,0.95561,0.67986,1.10963,1.34082,1.14347,0.00149372,0.00149372,0.00149372
23,71.4541,1.07237,1.15296,1.17188,1,0.95485,0.955,0.67181,1.15452,1.48982,1.15815,0.00148546,0.00148546,0.00148546
24,74.1363,1.07431,1.13772,1.1517,0.99398,0.95422,0.95528,0.68006,1.1008,1.42674,1.17483,0.00147721,0.00147721,0.00147721
